ЗМІ;Рік;Місяць;День;Назва;Колєсніков;Солошенко;Мазур;Шилова;Антипов;Мороз;Вілкул;Резник;Партія регіонів;УДАР;КПУ;Батьківщина;Виконком;Кошти;Освіта;Газета;Комунальна власність;Референдум;ЖКХ;Комісія;Податки;Підприємництво;Земля;Бюджет;ЗМІ;Народ;Соціально-економічний розвиток;Медицина;Звалище;Дитсадки;Рейдерство;Прокуратура;Корупція;Сесія;Будівництво;Транспорт;Новомосковськ;Регламент;Звернення;Охорона;Проблема;Красть;Громадськість;Кладовище;Благоустрій;Допомога;Спорт;Школа;Кількість слів;Лексична насиченість
Новомосковськ європейський;2012;12;14;Янукович пропонує дозволити заарештовувати депутатів без згоди Верховної Ради;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;1,3137254902
Новомосковськ європейський;2012;12;31;Від душі погуляв апарат Податкової інспекції України, аж на 150 тис. доларів;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;134;1,2641509434
Новомосковськ європейський;2013;1;19;Даішника відлупцювали за відмову нести керівництву побори;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;134;1,3673469388
Новомосковськ європейський;2013;1;21;Filter bubble або зворотна сторона персоналізації;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;134;1,2761904762
Новомосковськ європейський;2013;1;24;Москаль збирає однокурсників Королевської;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;1,2293577982
Новомосковськ європейський;2013;2;1;Тортури в українському правосудді;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;134;1,2407407407
Новомосковськ європейський;2013;2;5;Сьогодні у світі відзначають День безпечного інтернету;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;134;1,2407407407
Новомосковськ європейський;2013;2;6;Для резиденції Януковича нарубають дерев на 2 мільйони;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;1,3958333333
Новомосковськ європейський;2013;2;10;Через Бандеру і Шухевича до вузів повернуть вступні іспити;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;1,1964285714
Новомосковськ європейський;2013;2;28;Дітям у столичному палаці, куди має приїхати Янукович, заборонили відповідати на питання;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;1,2884615385
Новомосковськ європейський;2013;2;28;Українці щороку витрачають на хабарі до 10 млрд грн, – Transparency International;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;134;1,34
nasamari;2012;9;7;Мэр Харь;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;135;1,5
nasamari;2012;9;15;В Ялте К;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1,3917525773
nasamari;2013;4;9;Активісти громадського руху Лелека провели захід до Міжнародного дня здоров’я~;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;135;1,35
nmsk.dp.ua;2012;9;9;В Песчанке открыта наибольшая сельская школа в области;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;135;1,35
Новомосковськ європейський;2012;8;23;Україна відзначає День Прапора;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;135;1,4210526316
Новомосковськ європейський;2012;12;17;Великий адронний колайдер відправили у відпустку на кілька років;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1,1739130435
Новомосковськ європейський;2012;12;22;Хто тягне мільярди з казни і купує на них долари;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;135;1,35
Новомосковськ європейський;2013;1;2;В Україні з’явився телефонний номер правової допомоги, за яким можна викликати захисника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;135;1,4516129032
Новомосковськ європейський;2013;1;5;У Дніпропетровську штрафують через звалища нереалізованих ялинок;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;135;1,2272727273
Новомосковськ європейський;2013;1;10;НБУ через каси зможе стежити за тратами українців;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1,2162162162
Новомосковськ європейський;2013;1;11;Жінки від опозиції заблокували трибуну і пообіцяли жіночій бунт;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;135;1,3366336634
Новомосковськ європейський;2013;1;17;Музейники закликають Президента повернути з Росії унікальні українські скарби;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1,2857142857
Новомосковськ європейський;2013;1;27;У Севастополі з’явилися зображення Януковича і Азарова з червоними цятками на лобі;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1,3636363636
Новомосковськ європейський;2013;7;3;Податок на нерухомість ще 250 тисяч мучеників;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;135;1,3636363636
Новомосковськ сьогодні;2012;9;24;Анатолій Кінах у Новомосковську поїхав на завод;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;136;1,203539823
Новомосковськ європейський;2012;11;2;Стабільність досягнуто. Державна казна у жовтні схудла на півмільярда гривень;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;1,7
Новомосковськ європейський;2012;11;28;У бюджеті дірка у 70 мільярдів, — Пишний;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;1,3465346535
Новомосковськ європейський;2012;12;2;Apple запатентувала нову технологію бездротової зарядки;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;1,2142857143
Новомосковськ європейський;2012;12;4;У Чорному морі затонув суховантаж із українцями на борту;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;136;1,3333333333
Новомосковськ європейський;2012;12;10;Уряд запропонував українським закладам культури працювати як ресторани;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;136;1,3076923077
Новомосковськ європейський;2012;12;22;Дзвінки по мобільному телефону подешевшають через 10 днів;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;1,3076923077
Новомосковськ європейський;2012;12;26;Азаров назвав найголовніше досягнення 2012 року;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;136;1,3333333333
Новомосковськ європейський;2013;1;24;Київстар під тиском АМКУ знизить тарифи;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;1,4782608696
Новомосковськ європейський;2013;1;31;КОНСТИТУЦІЙНИЙ СУД ВІДМОВИВ У РОЗГЛЯДІ МОВНИХ ПОДАНЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;1,247706422
Новомосковськ європейський;2013;2;1;Тайванська фірма показала перший в світі прозорий смартфон;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;1,203539823
Новомосковськ європейський;2013;6;21;У Латвії офіційно заборонили радянську і нацистську символіку;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;1,3076923077
nasamari;2012;10;30;В КИЕВ С;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;1,3838383838
nasamari;2013;3;17;Супруги-пенсионеры в Хмельницкой области торговали марихуаной;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;137;1,2568807339
nmsk.dp.ua;2013;5;23;Патріарший візит до Новомосковська;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;137;1,3564356436
Новомосковськ сьогодні;2013;7;22;У Новомосковську бійка зі стріляниною за участі судді;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;137;1,3047619048
Новомосковськ європейський;2012;10;17;Передвиборча реклама ПР роздратувала понад третину українців;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;137;1,2924528302
Новомосковськ європейський;2012;11;12;В Україні з’явився перший підземний музей скульптур;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;1,3300970874
Новомосковськ європейський;2012;12;28;Китай випробував свій найбільший безпілотний гелікоптер;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;1,2803738318
Новомосковськ європейський;2013;1;11;У Єнакієвому озброєні школярі вкрали з магазину чотири пляшки пива;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;137;1,2924528302
Новомосковськ європейський;2013;1;21;Павліченко побився у камері Лук’янівського СІЗО;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;1,1229508197
Новомосковськ європейський;2013;1;29;Дніпропетровська міліція хоче брати з батьків гроші за пошук їхніх дітей;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;137;1,2232142857
Новомосковськ європейський;2013;3;9;Українські хакери — одні з найактивніших у світі;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;1,1913043478
Новомосковськ європейський;2013;4;12;Дніпропетровець безкоштовно роздає городянам велосипеди для прогулянок;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;137;1,2123893805
nasamari;2013;5;17;В центре Днепропетровска снова стреляли;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;1,2212389381
nasamari;2013;8;21;В центре Киева стреляли в правозащитника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;138;1,38
nasamari;2013;9;19;Сім’я монополізувала політраду Партії Регіонів;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;1,2212389381
Новомосковськ сьогодні;2013;4;10;Суд ухвалив рішення про спростування Новомосковською правдою недостовірної інформації;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;138;1,3663366337
Новомосковськ європейський;2012;9;26;Українська діаспора розтоптала Януковича в Нью-Йорку;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;1,1896551724
Новомосковськ європейський;2012;10;12;Україна – п’ята за кількістю скарг до Європейського суду з прав людини;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;138;1,452631579
Новомосковськ європейський;2012;11;29;Хроніки покращення. Влада поклала око на готівкові валютні заощадження громадян;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;138;1,2321428571
Новомосковськ європейський;2012;11;29;ЄС готують до великої перебудови;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;138;1,2432432432
Новомосковськ європейський;2012;12;14;Охорона Азарова і Рибака не дозволила чорнобильцям покласти квіти до пам’ятника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;138;1,4375
Новомосковськ європейський;2012;12;17;Проти матері Оксани Макар відкрили кримінальне провадження;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;1,2321428571
Новомосковськ європейський;2012;12;28;Українська аудиторія стала 60-ою за кількістю в Facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;1,725
Новомосковськ європейський;2013;1;5;Новомосковськ кримінальний;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;138;1,2432432432
Новомосковськ європейський;2013;1;7;Тягнибок вірить в найкраще;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;1,2777777778
Новомосковськ європейський;2013;1;16;До Землі наближається ще один астероїд;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;1,3398058252
Новомосковськ європейський;2013;2;23;Власенко кинув Тімошенко;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;1,4838709677
Новомосковськ європейський;2013;7;1;Українські націоналісти відсвяткували річницю проголошення незалежності Бандерою;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;138;1,2
nasamari;2013;4;9;Активісти громадського руху Лелека провели захід до Міжнародного дня здоров’я;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;139;1,3762376238
nasamari;2013;9;16;В Днепродзержинске открыта крупнейшая в Украине статуя Христа Спасителя (ФОТО);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1,362745098
Новомосковськ європейський;2012;8;26;16% українців не мають грошей навіть на їжу;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1,3762376238
Новомосковськ європейський;2012;9;11;На кожного дніпропетровця випало більше 50 кг отрути;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;139;1,5977011494
Новомосковськ європейський;2012;10;18;СБУшникам купили 12 крутих машин з кондиціонерами та аудіосистемами;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1,2752293578
Новомосковськ європейський;2012;10;31;Прогресуюча шизофренія комуністів вони, виявляється, борються проти нинішнього режиму;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;139;1,2522522523
Новомосковськ європейський;2012;11;11;Опозиція проведе люстрацію в своїх рядах;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1,2752293578
Новомосковськ європейський;2012;12;6;Відомства затвердили спільну інструкцію, як спільно будуть проводити таємні розслідування;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;139;1,3113207547
Новомосковськ європейський;2013;1;10;800 колишніх депутатів Ради отримують пенсію майже 16 тис. грн;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1,2636363636
Новомосковськ європейський;2013;2;24;У Полтавській області пам’ятникам Леніну і Крупській знесли голови;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1,3113207547
Новомосковськ європейський;2013;2;28;На Дніпропетровщині запровадили карантин;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1,4183673469
Новомосковськ європейський;2013;3;13;Україна отримає від ЄБРР 300 мільйонів євро кредиту на АЕС;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1,3365384615
Новомосковськ європейський;2013;5;2;Вчені передбачили 200-літнє глобальне похолодання;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1,2410714286
nasamari;2012;9;18;Делая вы;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;140;1,2612612613
nasamari;2013;6;14;Північ Росії замело снігом після 30-градусної спеки;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;1,320754717
nmsk.dp.ua;2013;6;6;Зростайте щасливими, маленькі українці!;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;140;1,2844036697
Новомосковськ сьогодні;2013;8;12;У Новомосковську перевіряли готовність до опалювального сезону;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;140;1,2173913044
Новомосковськ європейський;2012;8;27;Правоохоронці та податківці зайнялися відкритим рекетом;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;1,1764705882
Новомосковськ європейський;2012;10;10;СБУ купить собі цукерок на більше, ніж 100 тис. грн;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;1,4583333333
Новомосковськ європейський;2012;11;6;Він претендував на нашу довіру. Помста кандидата-невдахи селянам;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;140;1,1475409836
Новомосковськ європейський;2012;11;26;З початку дії нового КПК відкрито понад 43,5 тис кримінальних проваджень;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;1,6279069767
Новомосковськ європейський;2012;11;27;РНБО купила авто на 2,5 мільйона у сина заступника Клюєва;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;1,2727272727
Новомосковськ європейський;2012;11;29;Колишній зам Гриценко Щомісяця я платив міністру 25 тисяч доларів;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;140;1,3861386139
Новомосковськ європейський;2012;11;30;Туалетний папір подарував університету екс-студент;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;140;1,3333333333
Новомосковськ європейський;2012;12;7;Експерти склали антирейтинг нових найбільш непривабливих авто;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;1,1965811966
Новомосковськ європейський;2012;12;12;Картки Табалових вже голосують синхронно з ПР;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;1,320754717
Новомосковськ європейський;2012;12;12;Косметичний гігант через кризу звільняє співробітників і закриває філіали;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;1,1965811966
Новомосковськ європейський;2012;12;18;Суддя терористів уже відзначилася невиправданим жорстоким вироком;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;1,1382113821
